date	origin_id	origin_city	destination_id	destination_city	od_flow
2021-01-01	1001	Synthetic-1-1	1002	Synthetic-1-2	102.249
2021-01-02	1001	Synthetic-1-1	1002	Synthetic-1-2	114.372
2021-01-03	1001	Synthetic-1-1	1002	Synthetic-1-2	115.531
2021-01-04	1001	Synthetic-1-1	1002	Synthetic-1-2	106.847
2021-01-05	1001	Synthetic-1-1	1002	Synthetic-1-2	96.559
2021-01-06	1001	Synthetic-1-1	1002	Synthetic-1-2	85.204
2021-01-07	1001	Synthetic-1-1	1002	Synthetic-1-2	95.197
2021-01-08	1001	Synthetic-1-1	1002	Synthetic-1-2	106.095
2021-01-09	1001	Synthetic-1-1	1002	Synthetic-1-2	110.235
2021-01-10	1001	Synthetic-1-1	1002	Synthetic-1-2	121.645
2021-01-11	1001	Synthetic-1-1	1002	Synthetic-1-2	103.476
2021-01-12	1001	Synthetic-1-1	1002	Synthetic-1-2	95.188
2021-01-13	1001	Synthetic-1-1	1002	Synthetic-1-2	91.977
2021-01-14	1001	Synthetic-1-1	1002	Synthetic-1-2	92.901
2021-01-15	1001	Synthetic-1-1	1002	Synthetic-1-2	102.653
2021-01-16	1001	Synthetic-1-1	1002	Synthetic-1-2	117.279
2021-01-17	1001	Synthetic-1-1	1002	Synthetic-1-2	120.842
2021-01-18	1001	Synthetic-1-1	1002	Synthetic-1-2	113.072
2021-01-19	1001	Synthetic-1-1	1002	Synthetic-1-2	100.996
2021-01-20	1001	Synthetic-1-1	1002	Synthetic-1-2	88.229
2021-01-21	1001	Synthetic-1-1	1002	Synthetic-1-2	98.015
2021-01-22	1001	Synthetic-1-1	1002	Synthetic-1-2	106.169
2021-01-23	1001	Synthetic-1-1	1002	Synthetic-1-2	116.578
2021-01-24	1001	Synthetic-1-1	1002	Synthetic-1-2	117.514
2021-01-25	1001	Synthetic-1-1	1002	Synthetic-1-2	112.324
2021-01-26	1001	Synthetic-1-1	1002	Synthetic-1-2	90.408
2021-01-27	1001	Synthetic-1-1	1002	Synthetic-1-2	84.856
2021-01-28	1001	Synthetic-1-1	1002	Synthetic-1-2	95.628
2021-01-29	1001	Synthetic-1-1	1002	Synthetic-1-2	100.912
2021-01-30	1001	Synthetic-1-1	1002	Synthetic-1-2	117.769
2021-01-31	1001	Synthetic-1-1	1002	Synthetic-1-2	118.183
2021-02-01	1001	Synthetic-1-1	1002	Synthetic-1-2	112.751
2021-02-02	1001	Synthetic-1-1	1002	Synthetic-1-2	105.646
2021-02-03	1001	Synthetic-1-1	1002	Synthetic-1-2	89.217
2021-02-04	1001	Synthetic-1-1	1002	Synthetic-1-2	93.257
2021-02-05	1001	Synthetic-1-1	1002	Synthetic-1-2	103.341
2021-02-06	1001	Synthetic-1-1	1002	Synthetic-1-2	121.13
2021-02-07	1001	Synthetic-1-1	1002	Synthetic-1-2	127.817
2021-02-08	1001	Synthetic-1-1	1002	Synthetic-1-2	114.393
2021-02-09	1001	Synthetic-1-1	1002	Synthetic-1-2	102.883
2021-02-10	1001	Synthetic-1-1	1002	Synthetic-1-2	97.067
2021-02-11	1001	Synthetic-1-1	1002	Synthetic-1-2	97.134
2021-02-12	1001	Synthetic-1-1	1002	Synthetic-1-2	109.297
2021-02-13	1001	Synthetic-1-1	1002	Synthetic-1-2	126.103
2021-02-14	1001	Synthetic-1-1	1002	Synthetic-1-2	126.318
2021-02-15	1001	Synthetic-1-1	1002	Synthetic-1-2	117.79
2021-02-16	1001	Synthetic-1-1	1002	Synthetic-1-2	93.418
2021-02-17	1001	Synthetic-1-1	1002	Synthetic-1-2	97.049
2021-02-18	1001	Synthetic-1-1	1002	Synthetic-1-2	94.329
2021-02-19	1001	Synthetic-1-1	1002	Synthetic-1-2	109.487
2021-02-20	1001	Synthetic-1-1	1002	Synthetic-1-2	122.788
2021-02-21	1001	Synthetic-1-1	1002	Synthetic-1-2	127.523
2021-02-22	1001	Synthetic-1-1	1002	Synthetic-1-2	115.304
2021-02-23	1001	Synthetic-1-1	1002	Synthetic-1-2	105.522
2021-02-24	1001	Synthetic-1-1	1002	Synthetic-1-2	98.029
2021-02-25	1001	Synthetic-1-1	1002	Synthetic-1-2	98.286
2021-02-26	1001	Synthetic-1-1	1002	Synthetic-1-2	109.228
2021-02-27	1001	Synthetic-1-1	1002	Synthetic-1-2	121.867
2021-02-28	1001	Synthetic-1-1	1002	Synthetic-1-2	132.008
2021-03-01	1001	Synthetic-1-1	1002	Synthetic-1-2	117.446
2021-03-02	1001	Synthetic-1-1	1002	Synthetic-1-2	101.862
2021-03-03	1001	Synthetic-1-1	1002	Synthetic-1-2	93.944
2021-03-04	1001	Synthetic-1-1	1002	Synthetic-1-2	98.6
2021-03-05	1001	Synthetic-1-1	1002	Synthetic-1-2	111.382
2021-03-06	1001	Synthetic-1-1	1002	Synthetic-1-2	131.865
2021-03-07	1001	Synthetic-1-1	1002	Synthetic-1-2	121.591
2021-03-08	1001	Synthetic-1-1	1002	Synthetic-1-2	123.096
2021-03-09	1001	Synthetic-1-1	1002	Synthetic-1-2	105.023
2021-03-10	1001	Synthetic-1-1	1002	Synthetic-1-2	95.252
2021-03-11	1001	Synthetic-1-1	1002	Synthetic-1-2	102.517
2021-03-12	1001	Synthetic-1-1	1002	Synthetic-1-2	110.489
2021-03-13	1001	Synthetic-1-1	1002	Synthetic-1-2	130.638
2021-03-14	1001	Synthetic-1-1	1002	Synthetic-1-2	127.25
2021-03-15	1001	Synthetic-1-1	1002	Synthetic-1-2	119.968
2021-03-16	1001	Synthetic-1-1	1002	Synthetic-1-2	105.73
2021-03-17	1001	Synthetic-1-1	1002	Synthetic-1-2	101.694
2021-03-18	1001	Synthetic-1-1	1002	Synthetic-1-2	100.308
2021-03-19	1001	Synthetic-1-1	1002	Synthetic-1-2	111.497
2021-03-20	1001	Synthetic-1-1	1002	Synthetic-1-2	128.987
2021-03-21	1001	Synthetic-1-1	1002	Synthetic-1-2	130.547
2021-03-22	1001	Synthetic-1-1	1002	Synthetic-1-2	117.223
2021-03-23	1001	Synthetic-1-1	1002	Synthetic-1-2	107.309
2021-03-24	1001	Synthetic-1-1	1002	Synthetic-1-2	99.354
2021-03-25	1001	Synthetic-1-1	1002	Synthetic-1-2	101.574
2021-03-26	1001	Synthetic-1-1	1002	Synthetic-1-2	114.201
2021-03-27	1001	Synthetic-1-1	1002	Synthetic-1-2	126.175
2021-03-28	1001	Synthetic-1-1	1002	Synthetic-1-2	133.943
2021-03-29	1001	Synthetic-1-1	1002	Synthetic-1-2	124.909
2021-03-30	1001	Synthetic-1-1	1002	Synthetic-1-2	104.162
2021-03-31	1001	Synthetic-1-1	1002	Synthetic-1-2	95.277
2021-04-01	1001	Synthetic-1-1	1002	Synthetic-1-2	102.224
2021-04-02	1001	Synthetic-1-1	1002	Synthetic-1-2	118.759
2021-04-03	1001	Synthetic-1-1	1002	Synthetic-1-2	127.861
2021-04-04	1001	Synthetic-1-1	1002	Synthetic-1-2	131.135
2021-04-05	1001	Synthetic-1-1	1002	Synthetic-1-2	123.082
2021-04-06	1001	Synthetic-1-1	1002	Synthetic-1-2	105.819
2021-04-07	1001	Synthetic-1-1	1002	Synthetic-1-2	102.884
2021-04-08	1001	Synthetic-1-1	1002	Synthetic-1-2	108.524
2021-04-09	1001	Synthetic-1-1	1002	Synthetic-1-2	120.685
2021-04-10	1001	Synthetic-1-1	1002	Synthetic-1-2	132.334
2021-04-11	1001	Synthetic-1-1	1002	Synthetic-1-2	129.053
2021-04-12	1001	Synthetic-1-1	1002	Synthetic-1-2	129.735
2021-04-13	1001	Synthetic-1-1	1002	Synthetic-1-2	110.756
2021-04-14	1001	Synthetic-1-1	1002	Synthetic-1-2	102.266
2021-04-15	1001	Synthetic-1-1	1002	Synthetic-1-2	105.2
2021-04-16	1001	Synthetic-1-1	1002	Synthetic-1-2	117.175
2021-04-17	1001	Synthetic-1-1	1002	Synthetic-1-2	132.237
2021-04-18	1001	Synthetic-1-1	1002	Synthetic-1-2	133.994
2021-04-19	1001	Synthetic-1-1	1002	Synthetic-1-2	132.264
2021-04-20	1001	Synthetic-1-1	1002	Synthetic-1-2	109.881
2021-04-21	1001	Synthetic-1-1	1002	Synthetic-1-2	105.766
2021-04-22	1001	Synthetic-1-1	1002	Synthetic-1-2	108.597
2021-04-23	1001	Synthetic-1-1	1002	Synthetic-1-2	122.449
2021-04-24	1001	Synthetic-1-1	1002	Synthetic-1-2	135.996
2021-04-25	1001	Synthetic-1-1	1002	Synthetic-1-2	135.211
2021-04-26	1001	Synthetic-1-1	1002	Synthetic-1-2	128.605
2021-04-27	1001	Synthetic-1-1	1002	Synthetic-1-2	109.803
2021-04-28	1001	Synthetic-1-1	1002	Synthetic-1-2	105.793
2021-04-29	1001	Synthetic-1-1	1002	Synthetic-1-2	103.212
2021-04-30	1001	Synthetic-1-1	1002	Synthetic-1-2	119.749
2021-05-01	1001	Synthetic-1-1	1002	Synthetic-1-2	138.244
2021-05-02	1001	Synthetic-1-1	1002	Synthetic-1-2	136.573
2021-05-03	1001	Synthetic-1-1	1002	Synthetic-1-2	122.676
2021-05-04	1001	Synthetic-1-1	1002	Synthetic-1-2	116.299
2021-05-05	1001	Synthetic-1-1	1002	Synthetic-1-2	101.027
