date	origin_id	origin_city	destination_id	destination_city	temp_diff	wind_max	snow_any
2021-01-01	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-02	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-03	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-04	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-05	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-06	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-07	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-08	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-09	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-10	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-11	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-12	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-13	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-14	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-15	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-16	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-17	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-18	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-19	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-20	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-21	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-22	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-23	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-24	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-25	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-26	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-27	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-28	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-29	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-30	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-01-31	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-02-01	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-02-02	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-02-03	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-02-04	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-02-05	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-02-06	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-02-07	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-02-08	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-02-09	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-02-10	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
2021-02-11	1001	Synthetic-1-1	1002	Synthetic-1-2	-1.0	2.7	1
